player_name,team,position,actual_rating,predicted_rating,rating_difference
Tim Kleindienst,FC Heidenheim,Forward,1.8865011057358505,1.9311790934951876,0.04467798775933707
David Datro Fofana,Union Berlin,Forward,1.7416740323850886,1.9306340214659576,0.18895998908086908
Eric Junior Dina Ebimbe,Eintracht Frankfurt,Forward,1.7178154839962516,1.926673780209975,0.20885829621372332
Omar Marmoush,Eintracht Frankfurt,Forward,1.9507239469137134,1.913784181449482,-0.03693976546423139
Tim Siersleben,FC Heidenheim,Defender,1.9484481184216744,1.9039474078580907,-0.044500710563583734
Mitchell Weiser,Werder Bremen,Defender,1.825861202842895,1.9023341245846874,0.07647292174179232
Fredrik Jensen,Augsburg,Midfielder,1.9908633155573845,1.89608141681958,-0.0947818987378044
Daniel Olmo Carvajal,RB Leipzig,Forward,2.302677153563941,1.8887327631584603,-0.4139443904054809
Eren Sami Dinkçi,FC Heidenheim,Forward,1.7231611031026632,1.8830999566149906,0.1599388535123274
Brajan Gruda,FSV Mainz 05,Forward,2.124169240699311,1.88068976282784,-0.24347947787147084
Brajan Gruda,FSV Mainz 05,Midfielder,1.4010269803889184,1.87677593864314,0.4757489582542216
Kevin Vogt,Union Berlin,Defender,1.776136380057853,1.8638988341241447,0.0877624540662918
Victor Okoh Boniface,Bayer Leverkusen,Forward,1.8763550509545524,1.8610098177371117,-0.015345233217440635
Niels Nkounkou,Eintracht Frankfurt,Defender,1.8291553764774902,1.8346499971474755,0.005494620669985295
Janis Blaswich,RB Leipzig,Goalkeeper,1.7695090055053981,1.8283442833207428,0.0588352778153447
Marvin Mehlem,Darmstadt 98,Midfielder,1.8709078361579548,1.826866008281244,-0.04404182787671074
Amine Adli,Bayer Leverkusen,Midfielder,1.7806904691520564,1.825060469469211,0.044370000317154545
Julian Chabot,FC Köln,Defender,1.908388039422054,1.8215913183891979,-0.08679672103285618
Kiliann Sildillia,Freiburg,Defender,1.9115444396686891,1.8195559649908577,-0.09198847467783144
Jeffrey Gouweleeuw,Augsburg,Defender,1.8291553764774902,1.813377617094867,-0.015777759382623158
Nico Elvedi,Borussia Mönchengladbach,Defender,1.895429122002037,1.8108901183647428,-0.08453900363729416
Felix Uduokhai,Augsburg,Defender,1.8622922492397636,1.8101145468541084,-0.05217770238565511
Junior Castello Lukeba,RB Leipzig,Defender,1.8225280019250356,1.8059689342131637,-0.016559067711871878
Phillip Tietz,Augsburg,Forward,1.585518002036563,1.8059302210679655,0.22041221903140262
Ruben Vargas,Augsburg,Midfielder,1.9755262212974698,1.8012117619355803,-0.1743144593618895
Timo Werner,RB Leipzig,Midfielder,1.6043150008190534,1.7943352941470223,0.19002029332796888
Paul Jaeckel,Union Berlin,Defender,1.7893911291627622,1.7928219358540682,0.003430806691306021
Robert Skov,Hoffenheim,Defender,1.7170878510773129,1.7874739211367907,0.07038607005947783
Ermedin Demirović,Augsburg,Forward,1.7037565913323047,1.7789688315318648,0.07521224019956008
Ozan Muhammed Kabak,Hoffenheim,Defender,1.7893911291627622,1.7768169963294844,-0.012574132833277796
Lukas Klostermann,RB Leipzig,Defender,1.895429122002037,1.7729080272479087,-0.1225210947541282
Sargis Adamyan,FC Köln,Forward,1.6628873914828102,1.7665184899985917,0.10363109851578156
Elvis Rexhbeçaj,Augsburg,Midfielder,1.8092732528201263,1.7552875852518826,-0.053985667568243745
Merlin Röhl,Freiburg,Midfielder,1.8103290059927775,1.7424832652841173,-0.06784574070866012
Matthias Bader,Darmstadt 98,Defender,1.9683302420790385,1.7284557808069103,-0.2398744612721282
Franck Honorat,Borussia Mönchengladbach,Defender,1.6587227592286,1.7281244537709626,0.06940169454236256
Alexander Nübel,VfB Stuttgart,Goalkeeper,1.610452016246486,1.7233365313292754,0.11288451508278952
Benjamin Šeško,RB Leipzig,Forward,1.6729812968720132,1.7224622901654987,0.04948099329348543
Ridle Bote Baku,Wolfsburg,Defender,1.6802974176930303,1.7197127525996085,0.039415334906578225
Jeremie Frimpong,Bayer Leverkusen,Defender,1.4384852610622028,1.7191569354216754,0.2806716743594726
Julian Ryerson,Borussia Dortmund,Defender,1.8266945320207322,1.7162593038167682,-0.11043522820396401
Eric Martel,FC Köln,Midfielder,1.9940778233781493,1.7151660933209365,-0.2789117300572128
Robin Knoche,Union Berlin,Defender,1.4712771506449378,1.7122546502917089,0.24097749964677107
Dominik Kohr,FSV Mainz 05,Defender,1.6440774025955351,1.7047487954184797,0.060671392822944537
Max Finkgräfe,FC Köln,Defender,1.6170793907989407,1.7039160176146493,0.08683662681570858
Anthony Caci,FSV Mainz 05,Defender,1.6840334310459069,1.6996344757615427,0.015601044715635837
Rasmus Carstensen,FC Köln,Defender,1.6568436381136686,1.6960537382836174,0.03921010016994875
Marius Wolf,Borussia Dortmund,Defender,1.6847732954738293,1.6936053657787957,0.008832070304966466
Marvin Ducksch,Werder Bremen,Forward,1.6661219624871053,1.6894866055131788,0.02336464302607344
Maximilian Beier,Hoffenheim,Forward,1.642509921879423,1.679523022900028,0.037013101020604955
Rocco Reitz,Borussia Mönchengladbach,Midfielder,1.7244428585487066,1.6793341105061708,-0.04510874804253584
Marius Bülter,Hoffenheim,Defender,1.4848619459186043,1.6616678637474858,0.17680591782888144
Luca Netz,Borussia Mönchengladbach,Defender,1.6867846121927306,1.6452098935773216,-0.041574718615408957
Ansgar Knauff,Eintracht Frankfurt,Forward,1.2989654122811163,1.6380369443589302,0.33907153207781393
Moritz Jenz,Wolfsburg,Defender,1.4712771506449378,1.6287203828027237,0.15744323215778588
Michael Zetterer,Werder Bremen,Goalkeeper,1.4911592743023019,1.6272975268740983,0.13613825257179646
Gregor Kobel,Borussia Dortmund,Goalkeeper,1.53092352161703,1.6156244630019663,0.08470094138493622
Joseph Scally,Borussia Mönchengladbach,Defender,1.5841284785533647,1.6092020593724174,0.025073580819052754
Christian Günter,Freiburg,Defender,1.5668106803799011,1.607722371106076,0.04091169072617484
Joakim Mæhle,Wolfsburg,Defender,1.550805645274394,1.6031054510024818,0.0522998057280879
Davie Selke,FC Köln,Forward,1.5110165373522446,1.593266321595695,0.08224978424345042
Matúš Bero,Bochum,Midfielder,1.6445151161369296,1.5805009424729792,-0.06401417366395035
Christoph Klarer,Darmstadt 98,Defender,1.4845318997498471,1.5788801934312127,0.09434829368136555
Ikoma Loïs Openda,RB Leipzig,Forward,1.6699843105517753,1.5744437814972303,-0.09554052905454502
Keven Schlotterbeck,Bochum,Defender,1.6369615144563048,1.5723928587877907,-0.06456865566851411
Amine Adli,Bayer Leverkusen,Forward,1.5267667341297448,1.5620225012755438,0.03525576714579892
Cristian Gamboa Luna,Bochum,Defender,1.4977866488547567,1.5401265650992173,0.04233991624446065
Benjamin Henrichs,RB Leipzig,Defender,1.255339078775796,1.5237708182838647,0.26843173950806865
Adrian Beck,FC Heidenheim,Midfielder,1.5998482169625587,1.518291119640346,-0.08155709732221283
